time,PumpCost,PumpFlow,PumpPower,ReservoirPower,ReservoirSpillFlow,ReservoirTurbineFlow,SystemGeneratingRevenue,TotalGeneratingPower,TotalSystemPower,TotalSystemRevenue,TotalSystemRevenueSum,TurbineFlow,TurbinePower,V_LowerBasin,V_UpperBasin
2013-05-19 22:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400000.000000,0.000000
2013-05-19 23:00:00,0.000000,0.000000,0.000000,1000000.000000,0.000000,46.334909,19000.000000,1000000.000000,1000000.000000,19000.000000,19000.000000,0.000000,0.000000,593194.328607,0.000000
2013-05-20 00:00:00,0.000000,0.000000,0.000000,1000000.000000,0.000000,46.334909,19000.000000,1000000.000000,1000000.000000,19000.000000,19000.000000,0.000000,0.000000,786388.657214,0.000000
2013-05-20 01:00:00,8927.100000,10.000000,686700.000000,1686700.000000,0.000000,78.153091,21927.100000,1686700.000000,1000000.000000,13000.000000,13000.000000,0.000000,0.000000,901037.531276,36000.000000
2013-05-20 02:00:00,0.000000,0.000000,0.000000,1000000.000000,0.000000,46.334909,13000.000000,1000000.000000,1000000.000000,13000.000000,13000.000000,0.000000,0.000000,1094231.859883,36000.000000
2013-05-20 03:00:00,8352.788889,9.356666,642522.222222,1642522.222222,0.000000,76.106117,21352.788889,1642522.222222,1000000.000000,13000.000000,13000.000000,0.000000,0.000000,1213933.833750,69683.995923
2013-05-20 04:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,1227870.632935,55747.196738
2013-05-20 05:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,1241807.432119,41810.397554
2013-05-20 06:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,1255744.231304,27873.598369
2013-05-20 07:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,1269681.030488,13936.799185
2013-05-20 08:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,1283617.829673,0.000000
2013-05-20 09:00:00,0.000000,0.000000,0.000000,1000000.000000,0.000000,46.334909,13000.000000,1000000.000000,1000000.000000,13000.000000,13000.000000,0.000000,0.000000,1476812.158280,0.000000
2013-05-20 10:00:00,8927.100000,10.000000,686700.000000,1686700.000000,0.000000,78.153091,21927.100000,1686700.000000,1000000.000000,13000.000000,13000.000000,0.000000,0.000000,1591461.032342,36000.000000
2013-05-20 11:00:00,0.000000,0.000000,0.000000,1000000.000000,0.000000,46.334909,13000.000000,1000000.000000,1000000.000000,13000.000000,13000.000000,0.000000,0.000000,1784655.360949,36000.000000
2013-05-20 12:00:00,0.000000,0.000000,0.000000,1000000.000000,0.000000,46.334909,13000.000000,1000000.000000,1000000.000000,13000.000000,13000.000000,0.000000,0.000000,1977849.689556,36000.000000
2013-05-20 13:00:00,8352.788889,9.356666,642522.222222,1642522.222222,0.000000,76.106117,21352.788889,1642522.222222,1000000.000000,13000.000000,13000.000000,0.000000,0.000000,2097551.663423,69683.995923
2013-05-20 14:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,2111488.462608,55747.196738
2013-05-20 15:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,2125425.261792,41810.397554
2013-05-20 16:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,2139362.060977,27873.598369
2013-05-20 17:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,2153298.860161,13936.799185
2013-05-20 18:00:00,0.000000,0.000000,0.000000,2158200.000000,0.000000,100.000000,47500.000000,2500000.000000,2500000.000000,47500.000000,47500.000000,3.871333,341800.000000,2167235.659346,0.000000
